object-id,district
18-309,TINSUKIA
18-301,DHUBRI
18-303,BARPETA
18-760,MAJULI
18-318,HAILAKANDI
18-816,TAMULPUR
18-311,SIVASAGAR
18-324,BAKSA
18-321,KAMRUP
18-308,DHEMAJI
18-758,SOUTH SALMARA MANCACHAR
18-320,CHIRANG
18-306,SONITPUR
18-326,UDALGURI
18-759,WEST KARBI ANGLONG
18-312,JORHAT
18-302,GOALPARA
18-755,CHARAIDEO
18-319,BONGAIGAON
18-313,GOLAGHAT
18-317,KARIMGANJ
18-305,NAGAON
18-756,BISWANATH
18-314,KARBI ANGLONG
18-300,KOKRAJHAR
18-310,DIBRUGARH
18-307,LAKHIMPUR
18-757,HOJAI
18-304,MORIGAON
18-799,BAJALI
18-316,CACHAR
18-322,KAMRUP METRO
18-323,NALBARI
18-315,DIMA HASAO
18-325,DARRANG
